generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766006939-GajCssHs0usIUtFQIFcG,2025-12-17 21:28:59.666,0,,,0,0,388,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1061,514,,lois
gen-1766005919-nklFx3UQB5qBx2AIkiKC,2025-12-17 21:11:59.409,0,,,0,0,302,87,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1027,290,,lois
gen-1766005918-CYByV2V3DrMEL5Jd39NN,2025-12-17 21:11:58.487,0,,,0,0,321,22,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,258,369,,lois
gen-1766005916-rJzc7dSFbZBTQdk5I0by,2025-12-17 21:11:56.493,0,,,0,0,388,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,901,520,,lois
gen-1766005805-vukHqzVnRicLpTkKJd3Z,2025-12-17 21:10:05.031,0,,,0,0,304,118,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1459,597,,lois
gen-1766005803-uiIscAW6H4Lv8vMGROXu,2025-12-17 21:10:03.763,0,,,0,0,321,22,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,284,575,,lois
gen-1766005801-0IbX9uF7nLKnJkXlVeYx,2025-12-17 21:10:01.096,0,,,0,0,384,66,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1154,1191,,lois
gen-1766005630-B1sq9jVEY5Ml2c9cabQc,2025-12-17 21:07:10.657,0,,,0,0,303,70,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,809,553,,lois
gen-1766005629-wRhfpjOvhufjEkn63kuz,2025-12-17 21:07:08.997,0,,,0,0,372,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,581,741,,lois
gen-1766005627-Yzjm67K1PJPmDASeKkRC,2025-12-17 21:07:07.205,0,,,0,0,388,48,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1137,245,,lois
gen-1766003532-O2zGP40NoZW8XsFGJEzH,2025-12-17 20:32:12.959,0,,,0,0,396,106,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1444,329,,lois
gen-1766003531-IZQsHko7kvmh6zQsYacu,2025-12-17 20:32:11.512,0,,,0,0,526,29,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,545,346,,lois
gen-1766003530-dRbw1DBGl3gzJULHsFgt,2025-12-17 20:32:10.292,0,,,0,0,515,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,525,476,,lois
gen-1766003527-HaqK9RGIvga3ZeX6HAtm,2025-12-17 20:32:07.284,0,,,0,0,283,115,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1862,436,,lois
